genre_ids,id_x,original_language,original_title,popularity,vote_average,vote_count,title_clean,release_date,movie,production_budget,worldwide_gross,title,domestic_gross,foreign_gross
"[12, 14, 10751]",12444,en,Harry Potter and the Deathly Hallows: Part 1,33.533,7.7,10788,harry potter and the deathly hallows: part 1,2010-11-19,harry potter and the deathly hallows: part 1,0.0,0.0,harry potter and the deathly hallows: part 1,0.0,0.0
"[14, 12, 16, 10751]",10191,en,How to Train Your Dragon,28.734,7.7,7610,how to train your dragon,2010-03-26,How to Train Your Dragon,0.0,0.0,How to Train Your Dragon,0.0,277300000.0
"[12, 28, 878]",10138,en,Iron Man 2,28.515,6.8,12368,iron man 2,2010-05-07,Iron Man 2,0.0,0.0,Iron Man 2,0.0,311500000.0
"[16, 35, 10751]",862,en,Toy Story,28.005,7.9,10174,toy story,1995-11-22,Toy Story,0.0,0.0,toy story,0.0,0.0
"[28, 878, 12]",27205,en,Inception,27.92,8.3,22186,inception,2010-07-16,Inception,0.0,0.0,Inception,0.0,535700000.0
"[12, 14, 10751]",32657,en,Percy Jackson & the Olympians: The Lightning Thief,26.691,6.1,4229,percy jackson & the olympians: the lightning thief,2010-02-11,Percy Jackson & the Olympians: The Lightning Thief,0.0,0.0,Percy Jackson & The Olympians: The Lightning Thief,0.0,137700000.0
"[28, 12, 14, 878]",19995,en,Avatar,26.526,7.4,18676,avatar,2009-12-18,Avatar,0.0,0.0,avatar,0.0,0.0
"[16, 10751, 35]",10193,en,Toy Story 3,24.445,7.7,8340,toy story 3,2010-06-17,Toy Story 3,0.0,0.0,Toy Story 3,0.0,652000000.0
"[16, 10751, 35]",20352,en,Despicable Me,23.673,7.2,10057,despicable me,2010-07-09,Despicable Me,0.0,0.0,Despicable Me,0.0,291600000.0
"[16, 28, 35, 10751, 878]",38055,en,Megamind,22.855,6.8,3635,megamind,2010-11-04,Megamind,0.0,0.0,Megamind,0.0,173500000.0
"[16, 35, 10751]",863,en,Toy Story 2,22.698,7.5,7553,toy story 2,1999-11-24,Toy Story 2,0.0,0.0,toy story 2,0.0,0.0
"[10751, 14, 12]",12155,en,Alice in Wonderland,22.02,6.6,8713,alice in wonderland,2010-03-05,Alice in Wonderland,0.0,0.0,alice in wonderland,0.0,0.0
"[10751, 14, 12]",12155,en,Alice in Wonderland,22.02,6.6,8713,alice in wonderland,2010-03-05,Alice in Wonderland,0.0,0.0,alice in wonderland,0.0,0.0
"[53, 12, 28]",27578,en,The Expendables,21.517,6.1,4647,the expendables,2010-08-03,The Expendables,0.0,0.0,The Expendables,0.0,171400000.0
"[16, 10751]",38757,en,Tangled,21.511,7.5,6407,tangled,2010-11-24,Tangled,0.0,0.0,Tangled,0.0,391000000.0
"[27, 80]",41439,en,Saw 3D,20.37,6.0,1488,saw: the final chapter,2010-10-28,saw: the final chapter,0.0,0.0,saw: the final chapter,0.0,0.0
"[12, 14, 18, 10749]",24021,en,The Twilight Saga: Eclipse,20.34,6.0,4909,the twilight saga: eclipse,2010-06-23,The Twilight Saga: Eclipse,0.0,0.0,The Twilight Saga: Eclipse,0.0,398000000.0
